timestamp,velocity_x,velocity_y,velocity_z,angular_velocity_x,angular_velocity_y,angular_velocity_z,control_steer
18155913.34,0.013044864,4.760349751,0.0116652,0.260921657,-0.000686558,5.47E-05,5.39E-07
18155913.41,0.013029406,4.754768848,0.013395861,0.030194141,-4.39E-05,5.46E-05,5.39E-07
18155913.55,0.013014146,4.749196529,0.024930887,0.198761493,-0.000529126,5.44E-05,5.39E-07
18155913.63,0.013032736,4.75425148,0.029241553,0.420726031,-0.001251299,-0.000107003,-1.19E-06
18155913.76,0.013056624,4.763799667,0.032425571,0.489222467,-0.001303348,-1.67E-05,2.38E-09
18155913.85,0.013074994,4.770527363,0.030916249,0.488493651,-0.001283822,-1.36E-06,2.38E-09
18155913.92,0.013083147,4.773602962,0.032225266,0.469434649,-0.001248626,-3.62E-07,2.38E-09
18155914.01,0.013100863,4.780024529,0.030619897,0.476930141,-0.001349934,-1.04E-06,2.38E-09
18155914.13,0.013129964,4.790617466,0.030069038,0.479187369,-0.001274568,-2.47E-07,2.38E-09
18155914.23,0.013152139,4.798772335,0.032426998,0.247381404,-0.000609562,3.60E-07,2.38E-09
18155914.32,0.013169681,4.805075169,0.036816619,0.019237179,3.81E-06,-1.16E-07,2.38E-09
18155914.41,0.01317632,4.807559013,0.050153181,0.262409598,-0.000697517,-6.06E-07,2.38E-09
18155914.5,0.013181305,4.80932045,0.054088019,0.380051434,-0.001024206,-2.33E-07,2.38E-09
18155914.59,0.01318647,4.811249733,0.054002304,0.431400001,-0.001206509,-2.82E-07,2.38E-09
18155914.7,0.013158162,4.801032543,0.053331275,0.396248817,-0.001131369,-1.00E-06,2.38E-09
18155914.78,0.013103044,4.780902386,0.053122114,0.379460216,-0.001059202,-5.67E-07,2.38E-09
18155914.88,0.013072025,4.769466877,0.054278683,0.403473914,-0.001032403,1.34E-06,2.38E-09
18155914.96,0.01304302,4.759013176,0.051071256,0.428086966,-0.0011649,1.94E-07,2.38E-09
18155915.06,0.013021178,4.750977516,0.057265922,0.124518529,-0.000354035,5.88E-08,2.38E-09
